Y,X
0,sản phẩm chỉ thừa nhiều
0,màu bên ngoài nhạt hơn trong ảnh đó áo thì nỉ bông mình nghĩ là giặt mấy bữa là xù thôi
0,sản phẩm mỏng vải xấu
0,màu quá xấu so với hình
0,tiền nào của nấy khi mặc vào ngực mình kiểu nó bị phơi không bạn nào ngực to mặc
0,chất quá dày rộng thùng thình
0,hình in nhỏ không giống mẫu
0,vải mỏng vải dày hơn 1 tí nữa nha là ok
0,chất liệu rất mỏng khiến mặc bị lộ rất thất vọng nói chung là không được như mô tả khuyến cáo không nên mua tránh bị thất vọng như mình
0,dáng hơi xấu
0,mua lúc giảm giá thì cũng rẻ thật đấy nhưng chất lượng không được như mong đợi lắm đường viền không được gấp vào như nhiều hãng khác
0,áo chất lượng quá kém phần chữ in bị bong rất nhiều với chỉ thừa quá nhiều
0,cũng được nịt nâu nên không thích nào vải nóng nhé vải này mang nhìn già ý ạ không biết vải gì chắc nhưng gân
0,không hiểu may kiểu gi mặc vô xong cởi ra muốn lòi con mắt ra ngoài ôm sát cổ như vậy thì sao mà mặc
0,áo không ưng lắm
0,áo trắng mua về giặt ra màu nha mọi người nên cân nhắc khi mua
0,lở mua s hơi rộng nhưng mặc cũng được đường chỉ chổ rẻ sọc mỏng mang 1 lần đã tụt chỉ vài chỗ
0,áo mình kích cỡ 34 đúng rồi mà mặc cái này lại hơi chật chắc lần sau sẽ mua 36 với lại mẫu này cũng không thoải mái như mình nghĩ khá cứng và không mát lắm
0,áo bị dãn cổ dáng không đẹp logo không phải như trong ảnh mà là in vải mỏng mặc dù biết là giá rẻ nhưng mà như thế này thì thật sự là mua rồi mặc không được luôn í
0,chất lượng sản phẩm ối dồi ôi lắm thấy nhiều người mua nên đánh liều mua thử ai ngờ không ra gì
0,màu bên ngoài xanh sáng hơn màu trong ảnh áo màu đen chất có vẻ tốt hơn áo màu xanh với giá này thì không đòi hỏi gì nhiều
0,hàng quá rẻ mình săn chỉ có 24k thôi nhưng quần không như mình nghĩ màu thì giống hình nhưng ống quần to lắm luôn ý với mùi nồng kinh khủng chất bên trong là bông nhẹ hay sao ý giặt nhanh xù nhiều chỉ thừa 1m5 mặc vừa thôi nhưng mặc vào nhìn màu hơi phèn
0,quần không giống hình lắm sọc không được khâu lệch
0,quần ống chất mỏng và không giống trong ảnh
0,sản phẩm mỏng tiền nào thì của nấy
0,màu quần khác ảnh với lại quần rộng quá
0,vừa mua đã đứt dây
0,vải mỏng vãi đái mặc 1 hôm mà bục chỉ giặt cái vải nhão nhoét nhưng thôi rẻ nên chấp nhận
0,sản phẩm chỉ thừa rất nhiều
0,tiền nào của nấy mùi khó chịu sẽ không mua lại lần
0,áo trắng ngà có vết bẩn ở ngực và xước mọi ở cánh tay hy vọng sẽ giặt ra
0,áo chất lượng rất kém áo rất mỏng chất lượng không như ảnh nói chung là khá thất vọng khi nhận hàng
0,áo rất rộng
0,chất quá nóng
0,mới nhận mà chữ in đã bay chóc rồi chất vải nóng không hợp với giá tiền
0,hình in tốt có điều chất vải mỏng khá thất vọng
0,dáng không ôm cơ thể rộng phần bụng và ngực mình 50kg 1m65 mặc kích cỡ s rộng
0,màu quần không giống ảnh không đẹp hình dáng xấu chất vải thì tốt
0,ống quần rất rộng chỗ mông luôn nhỏ kéo lên rất khó
0,áo bị dính dơ bên tay áo mỏng
0,áo trắng nhưng mà chỉ đen trông kì ạ khóc
0,chất vải cứng xấu dã man
0,vừa mua đã đứt quoai
0,mới nhận thì áo hơi mùi giá rẻ hơi thất vọng về cổ áo x nếu 1 lớp thì sẽ nhìn thấy nói chung cũng được tiền nào của nấy
0,áo khá mỏng áo đen mỏng hơn xanh ai muốn mua thì có thể xem xét
0,màu chân váy không giống màu mẫu 1 tí nào
0,tạm được nhưng hơi mỏng
0,quần trắng bị dính màu
0,vải mỏng với nhạt nữa nha nói chung là không giống với hình ảnh ngoài đời thực
0,quần không giống hình mới mua về đã bị rách lại còn mỏng
0,áo nam mà cổ áo siêu nhỏ tôi nữ mà còn chui không vô nữa hàng dịch không biết sao mà trả hàng đây
0,tiền nào của nấy vải mỏng hơi thất vọng
0,áo đẹp nha vừa mặc đã bị rách rồi nên có cửa hàng 4 sao thôi nha 3
0,loại này hơi mỏng nha các bác mỏng quá thấy không tốt cho lắm được cái mặc thoải mái
0,hơi thất vọng kích thước l mà hình dáng hơi bé vải thì không dày dặn cho lắm nói thiệt chứ vải không bằng cái áo 50k của tôi nữa
0,các bạn m5 thì mặc được nhé còn trên m6 thì cộc quần có chỉ thừa vải mỏng mọi người nên cân nhắc khi mua nhé
0,áo rất rộng 70kg vẫn mặc rộng không ngờ về nó lại to đến vậy nha vải này sẽ không bị giãn đâu nha
0,hình in xấu nói chung là tệ lắm mọi người ạ
0,ống quần rộng quá mở ra mùi kinh khắp nha luôn
0,màu quần nhạt hình dáng mình không ưng lắm cạp quần rộng
0,không kèm áo trắng bên trong mong lần sau sẽ có ghi chú kỹ hơn
0,áo khá mỏng áo kẻ hơi bị bẩn
0,áo trắng phối màu cam mà vải cam bị ra màu coi chịu nỗi không làm hư mất 3 cái áo mua 1 lược thêm cái áo mới của mình thật hại não mà
0,hàng quá tệ
0,áo dáng rộng quá vải hơi mỏng
0,mẫu chất vải mỏng không giống hình cho lắm
0,áo mặc không ôm người bị các nịt gấp áo nhăn lên 2 bên hông rất thiếu thẩm mỹ và không mặc được đồ bên ngoài bó sát
0,quần không giống hình kiểu người ta may lại theo mẫu nhưng mà cái eo may hơi chật và ống chân hơi ngắn
0,sản phẩm có chút mỏng so với trong ảnh đề cập
0,áo rất rộng 70kg vẫn mặc rộng không ngờ về nó lại to đến vậy nha vải này sẽ không bị giãn đâu nha ai mua màu trắng này xem xét nha nó hơi mỏng
0,vải mỏng xấu ống tờ loe mặc hong nổi ạ tiền nào của đấy nha
0,tiền nào của nấy cả đống chỉ xấu không đẹp như hình ảnh
0,quần mỏng nhiều chỉ thừa tới đùi nó ôm lại bực thật sự
0,không khác gì cái rẻ lâu
0,quần chất mỏng lắm luôn không mặc được đâu mọi người không nên mua thất vọng
0,eo phải nói thật chứ áo quá tệ luôn ý áo thì không giống trong hình chỉ thừa thì nhiều vải mỏng lại còn nhanh xù lông mặc được 1 hai tuần là đã bắt đầu xức chỉ ra rồi đã vậy trên hình thì đuôi áo có xé tà nhưng khi mua về thì không hề có xé tà quá tệ quá tệ mình khuyên không nên mua
0,hình không giống trong sản phẩm phần quai đeo không giống trong sản phẩm
0,so với giá tiền thì chất lượng sản phẩm quá đắt và không êm
0,các bạn phải cực kỳ cẩn thận khi chọn kích cỡ gumac hàng tốt nhưng khoản kích cỡ lại rất kém sai số nhảy tùm lum kích cỡ m nữ nhưng quần này rút cuộc chồng mình 70kg mới mặc vừa mình còn tưởng nhìn lộn coi đi coi lại mác mấy lần
0,logo nhỏ hơn trong hình
0,áo mình mua bị phai ạ giặt chung quần bị lem hết đống quần luôn mọi người lưu ý giặt riêng áo nha
0,sản phẩm này để mô tả kích cỡ không chuẩn lắm mình ngực 81 chọn kích cỡ 34 mà hơi kích bình thường các mẫu khác ngực của mình mặc 36 đáng nhẽ đặt 36 là vừa rồi
0,áo cũng tạm được vải chắc chắn là mỏng vì tiền nào của đó chiều dài áo thì được mà ống tay hơi không đẹp mọi
0,mẫu chỉ dành cho đẹp ai cao phọoc mình dây thôi nhé vải đẹp nhưng vì là chất xốp nên mập như mình mặc lên nhìn sẽ càng thô và mập hơn với 1 điểm nữa nha là phần bẹt vai quấn ngang tay rất vướng và khó chịu khi vận động mẫu mã thì công nhận là sang nhưng mặc lên lại rất kén dáng bị lỗi nên 3 thôi
0,quần không giống kiểu bagy vì phần không tới đùi khá ôm chứ không rộng vải mỏng và hôi mùi vải trong kho lâu ngày đúng là tiền nào của đó
0,vừa nhận hàng em bị thất vọng tưởng là vải tây dày dặn không ngờ vải mỏng lắm ạ mọi lớp dễ lộ bụng phải mặc thêm quần váy bên trong bỏ áo vào vậy mà vẫn bị lộ viền màu thì kiểu hồng ruốc nha chất vải không hề mịn như hình mẫu
0,hàng đợt này về không vừa vặn với em lắm ạ mặc dù đã đặt kích cỡ kích cỡ s nhưng vẫn rộng ạ
0,mua mỗi áo nên giờ chả biết mặc với gì đâu vì ngắn quá
0,áo rất rông mặc dù chọn kích cỡ nhưng vẫn thùng thình
0,mỏng nhiều chỉ thừa
0,sản phẩm có mùi hơi khó ngửi bị rách mọi lỗ không nên mua nha mọi người
0,vải mỏng xl vì ảnh không liên quan
0,áo vải mỏng
0,hình không rõ áo dáng to nhưng ngắn quá sai với ảnh nhiều quá
0,vải hơi mỏng so với giá tiền
0,không mặc vừa quá dài và rộng
0,áo giống như hình dáng đẹp tuy nhiên chỉ có 60 cotton mặc rất nóng không thể mặc được
0,quần mỏng ổn với giá tiền không đẹp mình 41 kg mang vừa bạn nào mập hơn chắc không mang được
0,hơi to hơi rộng
0,chất quần cũng được như giặt lại ra màu áo sơ mọi người in chỉ ở ngoài vải cũng được nhưng chỉ in đậm và xấu
0,quần chất mỏng và nóng
0,cổ áo hơi rộng cái xch ở cổ hơi dài
0,mông 96 mặc l hơi chật quan trọng là dáng xấu dáng thiết kế lưng thấp vải không ôm mông nhìn quần và mông luôn không ăn nhập
0,lỗi khóa kéo mặc vô được kéo xuống không được phiền phức mà không được đổi hàng
0,màu chữ không giống hình
0,áo bị dính màu giặt không ra
0,sản phẩm này hơi nhỏ so với kích thước chuẩn mọi người nên tăng kích thước
0,áo mặc không thoải mái
0,vừa nhận hàng xong áo bị rách nách
0,ống rộng trông kỳ cục chất tốt hình dáng cũng được nhưng cái ống nó to quá nên hơi thất vọng
0,đóng gói cẩn thận nhưng khi mở áo thì thấy áo bị bẩn mất có chấm bẩn đen vải tạm ổn so với giá tiền
0,vãi mỏng ảnh ngoài không giống trên hình
0,tạm được nói chung tiền nào của đấy chất không co dãn và mỏng áo nó đẹp có điểm nhấn ở khóa nhưng mà khóa đen sì nói chung mua mặc chơi cũng được
0,quần mỏng ống quần khá bé không được rộng và hình dáng như ảnh đâu nha mọi người
0,éo rất mỏng chỉ thừa khá áo không cứng được
0,hàng có chất vải mỏng hơn mình nghĩ quần rộng lắm nha mình 1m5 42 kg mặc lên phải sắn lên hai nấc vẫn rộng dáng quần cũng không được đẹp phần không may kiểu gì mà nó lại bị phồng ra trông kinh dị lắm chất vải mặt trong còn bị xù lên ý nói chung là rẻ nhưng không ưng tý nào
0,sản phẩm bị hư rách chỉ nhiều không nên mùa
0,áo nâu may lỗi vì nó nhỏ nên bỏ dây quần xấu áo chất mỏng dễ bị xù
0,các đồ khác thì ok nhưng áo quây ngực thì ôi nó rất hay bị tụt ngực mình 8 mọi người nên cân nhắc trước khi mua
0,lỗi kích cỡ phần cổ áo và hai bên sườn nên không hài lòng lắm
0,không nên mua đâu mọi người rẻ thật nhưng thấy 4 8 sao nên đặt thử chứ không trông mong lắm nhưng mua về không mặc đâu vải giống vải quần của áo dài á
0,hơi to mỏng
0,quần trên hình có túi nhưng nhận lại không có túi
0,áo vải mỏng dính chồng hai lớp vải lên mà vẫn nhìn xuyên thấu được được tạm chấp nhận rằng áo vải mỏng nhưng mà mặt mọi lần mà thấy hình trên áo sùi ra rồi bóc ra được thế kia thì cũng chịu
0,quần ống hơi rộng
0,sản phẩm dỏm không đáng tiền chút nào
0,đóng gói cẩn thận nhưng quần hơi mỏng mới mặc mọi lần đã bị rách đáy
0,chất liệu sản phẩm tốt nhưng áo có vết bẩn lần sau cửa hàng để ý hộ mình
0,quần không giống mẫu
0,áo bị dính mực bút bi tẩy không ra lúc cắt mác mình không để ý nên không hoàn hàng được
0,áo sọc đen này vải cứng mặc không được thoải mái lắm
0,mỏng có mùi
0,màu chữ nhạt
0,nhận hàng không được như mong đợi chất mềm nhưng dáng áo xấu quả to không ôm ngực và đệm mỏng quá
0,sản phẩm bị lỗi nhiều chỗ áo bị cấn nhăn nheo
0,vải mỏng áo và quần không cùng màu cho lắm khá thất vọng về sản phẩm
0,eo thì vừa xinh mà ống quần thì rộng khủng khiếp
0,hơi to so với thương hiệu thường
0,sản phẩm đóng gói cẩn thận chất lượng sản phẩm thì hơi tệ ạ vải thì nóng với lại mỏng ạ hình in áo thì xấu ạ giá tiền như thế mà áo như vậy thì khá là mắc áo còn có mùi hắc hơi hôi nữa nha ạ
0,quần mỏng phù hợp với giảm giá hơn là giá gốc
0,quan trọng chân váy xanh bỏ máy giặt lần đầu tiên bung chỉ tùm lum hết nên mình không hài lòng lắm
0,áo vải mỏng không có biểu tượng ở cánh tay chữ thì in sai
